variable_key,label_en,label_fr,description,task_key,variable_kind,value_source_type,level_registered_at,level_belongs_to,required_default,required_if,enum_ref,catalogue_ref,generator_ref," note_type_ref",required_in_pdf
c1_3_individual_pipe_in_covered_parking,C1 3 Individual piping in covered parking area,3) Au moins une canalisation individuelle passe en parc de stationnement couvert,Check whether at least one individual pipe runs through a covered parking area,gaz_004,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c1_4a_unauthorized_mechanical_assemblies,C1 4a Unauthorized mechanical assemblies,4a) Les assemblages sont réalisés par raccords mécaniques manifestement non autorisés,Check whether assemblies are made with clearly unauthorized mechanical fittings,gaz_004,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c1_4c_assemblies_outside_authorized_locations,C1 4c Assemblies outside authorized locations,"4c) Les assemblages par raccord à sertir ne sont sertis ; sont réalisés par brasage; collage; ... ",Check whether press fitting assemblies are not crimped or made with unauthorized methods such as brazing or gluing,gaz_004,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c1_4e_kit_rtl_pipe_clamp_near_meter,C1 4e Kit RTL piping has no clamp near meter,4e) La tuyauterie en Kit PLT ne possède pas de collier de fixation à proximité du compteur,Check whether Kit PLT piping lacks a fixation clamp near the meter,gaz_004,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c2_5_annular_space_visible,C2 5 Annular space visible,5) L'espace annulaire de la canalisation de gaz à la pénétration dans le bâtiment ou le logement est visible,Check whether the annular space of the gas pipe at building or dwelling entry is visible,gaz_005,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c2_5_2_annular_space_obstructed,C2 5.2 Annular space obstructed,L'espace annulaire est obstrué ?,Check whether the annular space is obstructed,gaz_005,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c3_meter_presence_in_service,C3 Meter in Service Presence,Présence d'un compteur en fonctionnement,Check whether a gas meter in service is present,gaz_006,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c3_6a_flow_less_or_equal_6l_h,C3 6a Flow <= 6 l/h,6a) Lecture d'un débit inférieur ou égal à 6 l/h,Check whether meter rotation test shows flow less than or equal to 6 l/h,gaz_006,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c3_6b1_flow_greater_6l_h_controls_open,C3 6b1 Flow > 6 l/h with Controls Open,6b1) Lecture d'un débit supérieur à 6 l/h avec robinet(s) de commande ouvert(s),Check whether flow is greater than 6 l/h when control valves are open,gaz_006,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c3_6b2_flow_greater_6l_h_controls_closed,C3 6b2 Flow > 6 l/h with Controls Closed,6b2) Lecture d'un débit supérieur à 6 l/h avec robinet(s) de commande fermé(s),Check whether flow is greater than 6 l/h when control valves are closed,gaz_006,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c3_6c_leak_detected_without_flow_measure,C3 6c Leak Detected without Flow Measure,6c) Au moins un défaut d'étanchéité a été observé,Check whether at least one leak defect is observed without flow measurement,gaz_006,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c4_7a1_missing_additional_shutoff_device,C4 7a1 Missing Additional Shut-off Device,7a1) Absence d'un organe de coupure supplémentaire,Check whether an additional shut-off device is missing,gaz_006,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c4_7a2_shutoff_not_suitable_for_pressure,C4 7a2 Shut-off Not Suitable for Pressure,7a2) Au moins un organe de coupure n'est pas adapté à la pression de service,Check whether at least one shut-off device is not suitable for service pressure,gaz_006,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c4_7a3_shutoff_without_recognized_logo,C4 7a3 Shut-off without Recognized Logo,7a3) Au moins un organe de coupure n'est pas marqué du logo d'une marque reconnue,Check whether at least one shut-off device lacks a recognized brand logo,gaz_006,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c4_7a4_additional_shutoff_accessible,C4 7a4 Additional Shut-off Accessible,7a4) L'organe de coupure supplémentaire est accessible pour le cas des tiges après compteur et en maison individuelle,Check whether the additional shut-off device is accessible,gaz_006,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c4_7a5_additional_shutoff_has_operating_mechanism,C4 7a5 Additional Shut-off has Operating Mechanism,7a5) L'organe de coupure supplémentaire comporte un dispositif de manœuvre,Check whether the additional shut-off device has an operating mechanism,gaz_006,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c5_propane_tank_presence,C5 Propane Tank Presence,Présence d'une citerne propane,Check whether a propane tank is present,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c5_propane_bottle_presence,C5 Propane Bottle Presence,Présence d'une bouteille propane,Check whether a propane bottle is present,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c5_butane_bottle_presence,C5 Butane Bottle Presence,Présence d'une bouteille butane,Check whether a butane bottle is present,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c5_7b_first_stage_regulator_presence,C5 7b First Stage Regulator Presence,7b) Présence de première détente sur une installation,Check whether first-stage regulation is present on the installation,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c5_7c1_pressure_limiter_or_second_regulator_presence,C5 7c1 Pressure Limiter or Second Regulator Presence,7c1) Présence d'un limiteur de pression ou d'un second détendeur,Check whether a pressure limiter or a second regulator is present,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c5_7c2_buried_tank_insulating_connection_in_good_condition,C5 7c2 Buried Tank Insulating Connection in Good Condition,7c2) Le raccord isolant d'une citerne enterrée est présent et en bon état,Check whether the insulating connection of a buried tank is present and in good condition,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c6_7d1_hose_without_recognized_logo,C6 7d1 Hose without Recognized Logo,7d1) Elle n'est pas marquée du logo d'une marque reconnue,Check whether the hose is not marked with a recognized brand logo,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c6_7d2_hose_in_poor_condition,C6 7d2 Hose in Poor Condition,7d2) Elle est en mauvaise état,Check whether the hose is in poor condition,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c6_7d3_hose_length_above_0_70_or_multiple_hoses_connected,C6 7d3 Hose Length Above 0.70 or Multiple Hoses Connected,7d3) Sa longueur est supérieure à 0.70 m ou plusieurs lyres sont raccordées bout à bout,Check whether hose length exceeds 0.70 m or multiple hoses are connected end to end,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c6_7d4_reinforced_rubber_hose_expiry_unreadable_or_exceeded,C6 7d4 Reinforced Rubber Hose Expiry Unreadable or Exceeded,7d4) Cas des lyres GPL en caoutchouc armé : sa date limite d'utilisation n'est pas lisible ou est dépassée,Check whether reinforced rubber LPG hose expiry date is unreadable or exceeded,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c6_7d5_hose_through_hazardous_area,C6 7d5 Hose through Hazardous Area,7d5) Elle passe dans une zone dangereuse,Check whether the hose passes through a hazardous area,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c6_7d6_hose_not_visitable,C6 7d6 Hose Not Visitable,7d6) Elle n'est pas visitable,Check whether the hose is not visitable,gaz_007,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
appliance_location,Appliance Location,Localisation,Location of the appliance (room or space),gaz_010,enum_single,user_input,object,object,true,,appliance_location,,gas_appliance,True
appliance_name_usage,Appliance Name or Usage,Nom/Usage,Name or usage of the appliance,gaz_010,enum_single,user_input,object,object,true,,appliance_name_usage,,gas_appliance,False
appliance_connection_type,Appliance Connection Type,Type d'appareil,Connection type (not connected; connected; sealed),gaz_010,enum_single,user_input,object,object,true,,appliance_connection_type,,gas_appliance,False
appliance_brand,Appliance Brand,Marque,Brand of the appliance,gaz_010,enum_single,user_input,object,object,true,,,appliance_brand,gas_appliance,False
appliance_model,Appliance Model,Modèle,Model of the appliance,gaz_010,string,user_input,object,object,false,,,,gas_appliance,,False
manufacture_year,Manufacture Year,Année de fabrication,Year of manufacture,gaz_010,string,user_input,object,object,false,,,,gas_appliance,,False
power_kw,Power kW,Puissance en Kw,Power in kW,gaz_010,number,user_input,object,object,true,,,,gas_appliance,,False
measured_flow_l_min,Measured Flow l/min,Débit mesuré l/min,Measured flow rate in l/min,gaz_010,number,user_input,object,object,false,,,,gas_appliance,,False
c7_8a1_shutoff_device_present_for_each_appliance,C7 8a1 Shut-off device present for each appliance,8a1) Présence pour chaque appareil en place d'un organe de coupure,Check whether each installed appliance has a shut-off device,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c7_8a2_shutoff_device_accessible_for_each_appliance,C7 8a2 Shut-off device accessible for each appliance,8a2) Accessibilité de chaque organe de coupure,Check whether each shut-off device is accessible,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c7_8a3_shutoff_device_maneuverable_for_each_appliance,C7 8a3 Shut-off device maneuverable for each appliance,8a3) Manœuvrabilité de chaque organe de coupure,Check whether each shut-off device is maneuverable,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c7_8b_valve_or_waiting_pipe_end_capped,C7 8b Valve or waiting pipe end capped,8b) Extrémité du robinet ou tuyauterie en attente obturée,Check whether the valve end or waiting pipe is capped,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c7_8c_fixed_pipe_shutoff_has_nondetachable_rubber_nozzle,C7 8c Fixed pipe shut-off has nondetachable rubber nozzle,8c) Au moins un organe de coupure d'un appareil alimenté par une tuyauterie fixe est muni d'un about porte caoutchouc non démontable,Check whether at least one fixed-pipe appliance shut-off has a non-detachable rubber nozzle,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c8_9a_lpg_installation_has_oca_or_trip_regulator,C8 9a LPG installation has OCA or trip regulator,9a) Présence d'un OCA ou détendeur-déclencheur,Check whether the LPG installation has an OCA or a trip regulator,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c8_9b_appliance_supply_pressure_above_50_mbar,C8 9b Appliance supply pressure above 50 mbar,9b) La pression d'alimentation de l'appareil est supérieure à 50 mbar,Check whether appliance supply pressure is above 50 mbar,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c9_10_appliance_apparently_unsuitable_for_gas_type,C9 10 Appliance apparently unsuitable for gas type,10) Au moins un appareil installé est apparemment inadapté au type du gaz,Check whether at least one installed appliance appears unsuitable for the gas type,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c10_11a_fixed_supply_has_at_least_one_appliance_connected,C10 11a At least one appliance connected on fixed supply,11a) Sur une installation alimentée par une tuyauterie fixe au moins un appareil est raccordé en gaz,Check whether at least one appliance is connected on a fixed piping gas supply,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c10_11b_connection_tube_marked_with_modification_logo,C10 11b Connection tube marked with modification logo,11b) Le tuyau d'alimentation est marqué du logo d'une marque reconnue (Modification faite pour correspondre au critère de décision C10.4),Check whether the supply tube is marked with a recognized brand logo for decision criterion C10.4,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c10_11c_connection_material_recognized_brand_not_authorized,C10 11c Connection material recognized brand not authorized,C10 11c) Le matériel utilisé pour le raccordement en gaz d'un appareil est marqué d'une marque reconnue mais n'est pas autorisé d'emploi,Check whether connection material is recognized branded but not authorized for use,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c10_12a_flexible_tube_in_poor_condition,C10 12a Flexible tube in poor condition,12a) Le tuyau flexible est en mauvais état,Check whether the flexible tube is in poor condition,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c10_12b_metal_flexible_tube_with_fittings_in_poor_condition,C10 12b Metal flexible tube with fittings in poor condition,12b) Tuyau flexible métal à embouts mécaniques en mauvais état,Check whether metal flexible tube with mechanical fittings is in poor condition,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c10_13_tube_length_greater_than_2m,C10 13 Tube length greater than 2m,13) Longueur supérieure à 2m,Check whether tube length is greater than 2 meters,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c10_14_expiry_date_exceeded_or_unreadable,C10 14 Expiry date exceeded or unreadable,14) Date limite d'utilisation dépassée ou pas lisible,Check whether the usage expiry date is exceeded or unreadable,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c10_15a_tube_passes_through_hazardous_areas,C10 15a Tube passes through hazardous areas,15a) Passage dans les zones dangereuses,Check whether tube routing passes through hazardous areas,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c10_15b_tube_visitable,C10 15b Tube visitable,15b) Visitable,Check whether the tube is visitable,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c11_16a_soft_tube_caliber_suitable_for_nozzles,C11 16a Soft tube caliber suitable for nozzles,16a) Calibre tube souple adapté aux abouts porte caoutchouc de raccordement,Check whether soft tube caliber matches rubber nozzle fittings,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c11_16b_soft_tube_mounted_on_compliant_nozzle_and_engaged,C11 16b Soft tube mounted on compliant nozzle and engaged,16b) Tube souple monté sur about porte caoutchouc conforme et suffisamment engagé,Check whether soft tube is mounted on compliant nozzle and sufficiently engaged,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c11_16c1_soft_tube_feeds_built_in_cooking_appliance,C11 16c1 Soft tube feeds built-in cooking appliance,16c1) Tube souple alimentant en gaz un appareil de cuisson encastré,Check whether soft tube feeds a built-in cooking appliance,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c11_16c2_soft_tube_has_appropriate_clamps,C11 16c2 Soft tube has appropriate clamps,16c2) Tube souple équipé de colliers de serrage appropriés,Check whether soft tube has appropriate clamping collars,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c12_17_unfixed_or_unsecured_appliance_connected_with_rigid_piping,C12 17 Unfixed or unsecured appliance connected with rigid piping,17) Un appareil non fixé ou non immobilisé sous son propre poids est raccordé en gaz par une tuyauterie rigide,Check whether an unfixed or unsecured appliance is connected with rigid gas piping,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c13_19h_non_cenr_in_unsuitable_room,C13 19h Non CENR in unsuitable room,19h) Appareil autre qu'un CENR installé ou prévu dans un local de volume insuffisant,Check whether a non CENR appliance is installed or planned in an unsuitable room,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c13_19g_outdoor_appliance_installed_indoors,C13 19g Outdoor appliance installed indoors,19g) Un appareil prévu pour fonctionner à l'extérieur ou à l'air libre est installé à l'intérieur,Check whether an appliance intended for outdoor use is installed indoors,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c14_19_1_air_inlet_missing,C14 19.1 Air inlet missing,19.1) L'amenée d'air n'existe pas,Check whether the air inlet is missing,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c14_19_2_air_inlet_manifestly_insufficient,C14 19.2 Air inlet manifestly insufficient,19.2) L'amenée d'air du local est manifestement insuffisante,Check whether the room air inlet is manifestly insufficient,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c14_19_3_indirect_air_inlet_transit_insufficient,C14 19.3 Indirect air inlet transit insufficient,19.3) Passage de transit de l'amenée d'air indirecte insuffisant,Check whether indirect air inlet transit passage is insufficient,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c14_19_4_direct_air_inlet_height_unsuitable,C14 19.4 Direct air inlet height unsuitable,19.4) Si sortie d'air directe amenée d'air directe située à une hauteur non adaptée,Check whether direct air inlet height is unsuitable,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c14_19_5_indirect_air_inlet_transits_via_wc_or_other_premises,C14 19.5 Indirect air inlet transits via WC or other premises,19.5) Amenée d'air indirect transite par WC ou par un autre logement ou par une partie commune,Check whether indirect air inlet passes through WC other dwelling or common area,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c14_19_6_descending_duct_without_suitable_air_outlet,C14 19.6 Descending duct without suitable air outlet,19.6) Amenée d'air par conduit descendant local sans sortie d'air adaptée,Check whether descending duct inlet exists without suitable air outlet,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c14_19_7_air_inlet_obstructed,C14 19.7 Air inlet obstructed,19.7) Amenée d'air est obturée,Check whether the air inlet is obstructed,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c14_19_8_air_inlet_closable,C14 19.8 Air inlet closable,19.8) Amenée d'air est obturable,Check whether the air inlet is closable,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c15_20_1_air_outlet_missing,C15 20.1 Air outlet missing,20.1) La sortie d'air est absente,Check whether the air outlet is missing,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c15_20_2_air_outlet_manifestly_insufficient,C15 20.2 Air outlet manifestly insufficient,20.2) La sortie d'air est manifestement insuffisante,Check whether the air outlet is manifestly insufficient,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c15_20_3_air_outlet_obstructed,C15 20.3 Air outlet obstructed,20.3) La sortie d'air est obturée,Check whether the air outlet is obstructed,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c15_20_4_air_outlet_closable,C15 20.4 Air outlet closable,20.4) La sortie d'air est obturable,Check whether the air outlet is closable,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c15_20_5_air_outlet_device_unsuitable,C15 20.5 Air outlet device unsuitable,20.5) Constituée par un dispositif non adapté,Check whether the air outlet is made by an unsuitable device,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c15_20_6_non_cooking_appliance_mechanical_ventilation_device,C15 20.6 Non cooking appliance mechanical ventilation device,20.6) Appareil non raccordé autre que cuisson constitué par un dispositif de ventilation mécanique (hotte etc),Check whether a non-cooking unflued appliance relies on a mechanical ventilation device,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c15_20_7_single_cooking_appliance_mechanical_ventilation_not_compliant,C15 20.7 Single cooking appliance mechanical ventilation not compliant,20.7) Appareil de cuisson seul constitué par un dispositif de ventilation mécanique (hotte etc) ne répondant pas aux critères d'installation,Check whether a single cooking appliance with mechanical ventilation does not meet installation criteria,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c16_21_direct_air_outlet_requires_direct_air_inlet,C16 21 Direct air outlet requires direct air inlet,21) Si la sortie d'air est directe l'amenée d'air est également directe,Check whether direct air outlet is paired with direct air inlet,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c23_28a_missing_connection_duct_between_appliance_and_flue,C23 28a Missing connection duct between appliance and flue,28a) Absence d'un conduit de raccordement reliant l'appareil au conduit de fumée,Check whether connection duct between appliance and flue is missing,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c23_28b_combustion_products_evacuation_device_missing,C23 28b Combustion products evacuation device missing,28b) Le dispositif d'évacuation des produits de combustion est absent,Check whether combustion products evacuation device is missing,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c23_28c_evacuation_device_manifestly_not_a_flue_duct,C23 28c Evacuation device manifestly not a flue duct,28c) Le dispositif d'évacuation des produits de combustion n'est manifestement pas un conduit de fumée,Check whether combustion evacuation device is manifestly not a flue duct,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c24_29a_mobile_adjustment_device_present_on_connection_duct,C24 29a Mobile adjustment device present on connection duct,29a) Un moyen de réglage mobile est présent sur le conduit de raccordement,Check whether a mobile adjustment device is present on the connection duct,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c24_29b_connection_duct_has_section_reduction,C24 29b Connection duct has section reduction,29b) Le conduit de raccordement présente une réduction de section,Check whether the connection duct has a section reduction,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c24_29c1_assembly_clearance_above_2mm_on_both_sides,C24 29c1 Assembly clearance above 2mm on both sides,29c1) Jeu aux assemblages estimé supérieur à 2 mm de part et d'autre du diamètre du conduit,Check whether assembly clearance is estimated above 2 mm on both sides of duct diameter,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c24_29c2_perforation_other_than_sampling_orifice,C24 29c2 Perforation other than sampling orifice,29c2) Perforation autre qu'un orifice de prélèvement,Check whether there is perforation other than a sampling orifice,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c24_29c3_sampling_orifice_not_properly_sealed,C24 29c3 Sampling orifice not properly sealed,29c3) Orifice de prélèvement non convenablement obturé,Check whether the sampling orifice is not properly sealed,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c24_29c4_unsuitable_diameter_nozzle_or_flue_duct,C24 29c4 Unsuitable diameter nozzle or flue duct,29c4) Diamètre non adapté (buse / conduit fumée ...),Check whether nozzle or flue duct diameter is unsuitable,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c24_29c5_significant_corrosion_state,C24 29c5 Significant corrosion state,29c5) État de corrosion important,Check whether corrosion state is significant,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c24_29d1_has_counter_slope,C24 29d1 Has counter slope,29d1) Présente une contrepente,Check whether the connection duct has a counter slope,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c24_29d2_has_more_than_two_90_or_more_than_180_elbows,C24 29d2 Has more than two 90 or more than 180 elbows,29d2) Présente plus de 2 coudes à 90° ou plus de 180° de dévoiement,Check whether the duct has too many elbows or excessive deviation angle,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
c24_29d3_crosses_main_room,C24 29d3 Crosses main room,29d3) Traverse une pièce principale,Check whether the duct crosses a main room,gaz_010,enum_single,user_input,object,object,true,,gaz_checklist_response,,gas_appliance,,True
